etax_id	invoice_name	invoice_origin	deposit	amount_untaxed	sent_tax_basis	should_tax_basis
14846	IV260600336	SO-26060378	3869.16	3869.16	0.00	3869.16
14847	IV260600337	SO-26060428	1308.41	1308.41	0.00	1308.41
14848	IV260600338	SO-26060429	1308.41	1308.41	0.00	1308.41
14849	IV260600339	SO-26060463	1419.6299999999999	1419.63	0.00	1419.63
14850	IV260600340	SO-26060374	1822.43	1822.43	0.00	1822.43
14852	IV260600341	SO-26060469	1427.1000000000001	1427.10	0.00	1427.10
14853	IV260600342	SO-26060552	1115.89	1115.89	0.00	1115.89
14854	IV260600343	SO-26060470	1308.41	1308.41	0.00	1308.41
14855	IV260600344	SO-26060474	7588.79	7588.79	0.00	7588.79
14856	IV260600345	SO-26060559	1350.47	1350.47	0.00	1350.47
14861	IV260600346	SO-26060557	2668.2200000000003	2668.22	0.00	2668.22
14862	IV260600347	SO-26060567	2317.76	2317.76	0.00	2317.76
14864	IV260600348	SO-26060575	1242.06	1242.06	0.00	1242.06
14865	IV260600349	SO-26060573	810.2800000000001	810.28	0.00	810.28
14866	IV260600350	SO-26060479	1364.48	1364.48	0.00	1364.48
14867	IV260600351	SO-26060571	1149.53	1149.53	0.00	1149.53
14868	IV260600352	SO-26060519	5172.9	5172.90	0.00	5172.90
14869	IV260600353	SO-26060518	612.62	612.62	0.00	612.62
14870	IV260600354	SO-26060517	2075.7	2075.70	0.00	2075.70
14871	IV260600355	SO-26060516	4123.36	4123.36	0.00	4123.36
14873	IV260600356	SO-26060477	3214.96	3214.96	0.00	3214.96
14876	IV260600357	SO-26060526	8523.37	8523.37	0.00	8523.37
14877	IV260600358	SO-26060445	4000	4000.00	0.00	4000.00
14878	IV260600359	SO-26060453	1288.79	1288.79	0.00	1288.79
14879	IV260600360	SO-26060486	8060.75	8060.75	0.00	8060.75
14880	IV260600361	SO-26060550	4018.69	4018.69	0.00	4018.69
14881	IV260600362	SO-26060515	738.32	738.32	0.00	738.32
14882	IV260600363	SO-26060522	7869.16	7869.16	0.00	7869.16
14884	IV260600364	SO-26060511	15046.73	15046.73	0.00	15046.73
14885	IV260600365	SO-26060487	45.8	231.78	185.98	231.78
14886	IV260600366	SO-26060480	157.01	157.01	0.00	157.01
14887	IV260600367	SO-26060471	738.32	738.32	0.00	738.32
14888	IV260600368	SO-26060473	1140.19	1140.19	0.00	1140.19
14889	IV260600369	SO-26060568	1654.21	1654.21	0.00	1654.21
14890	IV260600370	SO-26060483	1186.92	1186.92	0.00	1186.92
14891	IV260600371	SO-26060472	738.32	738.32	0.00	738.32
14893	IV260600372	SO-26060512	7635.52	7635.52	0.00	7635.52
14903	IV260600373	SO-26060621	1182.24	1182.24	0.00	1182.24
14904	IV260600374	SO-26060597	121.5	121.50	0.00	121.50
14905	IV260600375	SO-26060462	4620.56	4620.56	0.00	4620.56
14906	IV260600376	SO-26060464	2817.76	2817.76	0.00	2817.76
14907	IV260600377	SO-26060468	2360.74	2360.74	0.00	2360.74
14908	IV260600378	SO-26060466	1434.5800000000002	1434.58	0.00	1434.58
14912	IV260600379	SO-26060467	597.1999999999999	597.20	0.00	597.20
14914	IV260600380	SO-26060564	4696.26	4696.26	0.00	4696.26
14915	IV260600381	SO-26060563	1394.86	1394.86	0.00	1394.86
14916	IV260600382	SO-26060344	27056	27056.00	0.00	27056.00
14917	IV260600383	SO-26060331	31233.649999999998	31233.65	0.00	31233.65
14919	IV260600384	SO-0212622	474000	474000.00	0.00	474000.00
14920	IV260600385	SO-26060431	2385.05	2385.05	0.00	2385.05
14922	IV260600386	SO-26060430	1308.41	1308.41	0.00	1308.41
14923	IV260600387	SO-26060392	7588.79	7588.79	0.00	7588.79
14924	IV260600388	SO-26060600	2514.02	2514.02	0.00	2514.02
14925	IV260600389	SO-26060426	531.78	531.78	0.00	531.78
14926	IV260600390	SO-26060388	2869.16	2869.16	0.00	2869.16
14927	IV260600391	SO-26060410	466.36	466.36	0.00	466.36
14928	IV260600392	SO-26060409	2668.2200000000003	2668.22	0.00	2668.22
14929	IV260600393	SO-26060408	5677.57	5677.57	0.00	5677.57
